Species;Taxa;Sex;Age.d;Weght.g;Length.cm;Asymptotic weight.g;Asymptotic length.cm;Paper ;Comments
Doryteuthis pealeii;Squid;NA;701.5;717.4960634;32;1527.660269;45;Kooijman 2010 / Summers, W. C. (1971). Age and growth of loligo pealei, a population study of the common atlantic coast squid. Biol. Bull, 141:189--201. ;
Doryteuthis pealeii;Squid;NA;1067.5;1527.660269;45;1527.660269;45;Kooijman 2010 / Summers, W. C. (1971). Age and growth of loligo pealei, a population study of the common atlantic coast squid. Biol. Bull, 141:189--201. ;
Dosidicus gigas;Squid;NA;81.818;76.74439928;11.142;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;131.431;169.6501034;16.087;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;159.284;394.553055;23.779;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;164.507;430.9640538;24.771;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;170.6;459.330019;25.513;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;174.081;488.749533;26.257;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;164.507;488.9505647;26.262;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;167.988;529.7571228;27.255;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;187.137;561.0951687;27.99;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;200.193;662.1224482;30.22;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;141.876;663.6850136;30.253;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;208.027;673.7704983;30.465;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
