Species,A,Winf
Doryteuthis gahi,13.2882087899519,130
Doryteuthis pealeii,15.3927941333333,1527.660269
Dosidicus gigas,39.180737870022,65000
Illex argentinus,23.5042906383998,875.5323211
Loligo forbesii,14.8881280192949,7100.909121
Loligo opalescens,20.8873297713406,225.9285946
Loligo vulgaris,14.4140353930879,1176.624833
Martialia hyadesi,18.4548337067108,1311.01574
Sepioteuthis lessoniana,44.4811876159454,1000
Thysanoteuthis rhombus,39.0583534625102,30000
