ID_m;Depth;Zpp;BioZpp;Fulx_Zpp_B_per_t;Ratio
733;600;4.3;14;60.2;7.46
485;500;13;12.7;165.1;8.97
448;150;10;5.3;53;4.94
443;2000;2.98;56;166.88;9.84
735;200;10.5;9.6;100.8;6.69
438;1000;4.3;40;172;8.56
738;5000;11.21;3.5;39.235;30.8
